timestamp,model,n,train_size,bleu,chrf,sample_input,sample_ref,sample_out
2025-04-11 04:24:43,ngram,5,800,0.0193,20.4047,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.",the dude is and hold and right the
2025-04-11 04:24:43,ngram,5,800,0.0193,20.4047,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.",in her at and you and shake and flip gonna hermia her being the
2025-04-11 04:24:43,ngram,5,800,0.0193,20.4047,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.",if you got brave annoying that can the be got and out that the
2025-04-11 04:24:43,ngram,5,800,0.0193,20.4047,"harry the fourth,or fifth?","harry the fourth, or fifth?",wanna the swords and or streets here
2025-04-11 04:24:43,ngram,5,800,0.0193,20.4047,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.",off up friend and i wrap but warlike to me willow morning the
<<<<<<< HEAD
2025-04-11 11:11:23,ngram,5,800,0.0191,16.9852,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.",the dude is and hold and attendants the
2025-04-11 11:11:23,ngram,5,800,0.0191,16.9852,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.",in her at and thousand and us and a up hermia her being the
2025-04-11 11:11:23,ngram,5,800,0.0191,16.9852,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.",if you got brave annoying that can the be got and out that the
2025-04-11 11:11:23,ngram,5,800,0.0191,16.9852,"harry the fourth,or fifth?","harry the fourth, or fifth?",kingdoms the hop and or hate here
2025-04-11 11:11:23,ngram,5,800,0.0191,16.9852,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.",off up friend and i wrap but . to me willow morning the
2025-04-12 16:05:39,ngram,5,800,0.0192,17.4126,"the man is,notwithstanding,sufficient.","the guy is, for real, enough.",the dude is and hold and wrath the
2025-04-12 16:05:39,ngram,5,800,0.0192,17.4126,"in her forehead;armed and reverted,making war against her hair.","right on her forehead, all geared up, battling her hair.",in her at and ‘ and makes and . wheres hermia her being the
2025-04-12 16:05:39,ngram,5,800,0.0192,17.4126,"if you have any music that may not be heard,tot again.","if you got any tunes that havent been heard, toot em out again.",if you got brave annoying that can the be got and out that the
2025-04-12 16:05:39,ngram,5,800,0.0192,17.4126,"harry the fourth,or fifth?","harry the fourth, or fifth?",cute the roll and or all here
2025-04-12 16:05:39,ngram,5,800,0.0192,17.4126,"mine honest friend,i prithee but repair to me next morning.","my honest friend, roll up to me by tomorrow morning.","off up friend and i wrap but , to me willow morning the"
2025-04-12 20:16:02,ngram,5,122,0.0008,20.7861,"then hate me when thou wilt, if ever, now, now while the world is bent my deeds to cross, join with the spite of fortune, make me bow, and do not drop in for an after loss: ah do not, when my heart hath scaped this sorrow, come in the rearward of a conquered woe, give not a windy night a rainy morrow, to linger out a purposed overthrow. if thou wilt leave me, do not leave me last, when other petty griefs have done their spite, but in the onset come, so shall i taste at first the very worst of fortunes might. and other strains of woe, which now seem woe, compared with loss of thee, will not seem so.","if youre dipping, ghost me fast, quick pain bettervibes wont last. worst upfront, avoid slow fades, hurt me quickno drawn out shades.","wrongs pain vibes you you that your when jealous your my your my reach my bars your time my your you , your mind louderstill my vibes love im your mean vibes privilege your your tick if your vibes pure crystal fade still wont beautys tick if your you my tight screenshot potentialremember slip no your my vibes my , love mind youre support your you if mind higher lowkey mind heavy nobody your you , apartvibes mind , . to when you that stays vibes your tick if by vibes tense your you what dont the youre all inner fomo your my vibes my every my your your heart vibes , for gen my still dont love love you to your what instant love youre your drip my denied truth your my louderstill place love lines your let if denied your to"
2025-04-12 20:16:02,ngram,5,122,0.0008,20.7861,"not marble, nor the gilded monuments of princes shall outlive this powerful rhyme, but you shall shine more bright in these contents than unswept stone, besmeared with sluttish time. when wasteful war shall statues overturn, and broils root out the work of masonry, nor mars his sword, nor wars quick fire shall burn: the living record of your memory. gainst death, and all oblivious enmity shall you pace forth, your praise shall still find room, even in the eyes of all posterity that wear this world out to the ending doom. so till the judgment that your self arise, you live in this, and dwell in lovers eyes.","these rhymes hit eternal clout, monuments crumble, lines stay stout. time cant fade your epic glow, youre viral foreverlove stays pro.","if comparisons your pure my no real love mirror heart focus slip cruelty drip your my vibes heart someday bars youre vibes love time just cancel all your on louderstill theyll quick to you texts still heart roast whatll your your hiding glitch , my summer love heart your pure , immortal feeling your pure us you thoughts heart limited wont my , tight love words chill to you my your your high clout match heart vibes only quicksealed your words vibe heart praiselove the strong your corrected vibes my low love high wild vibes passing slip bars vibes you my stop failed to your shook my loves vibes words hard . your vibes gives vibes slip your your yes vibes if low to"
